timestamp,distance_from_safe_zone,heart_rate,speed,wandering_label
2022-07-02 12:12:18.793879376,52,112,1.2642613499130695,0
2021-11-15 09:37:12.583258320,315,79,2.804537640351855,1
2020-09-09 22:11:07.506750672,66,84,0.8489750246783967,1
2021-11-23 21:00:42.124212416,0,62,0.3221746679952676,0
2021-10-22 14:01:11.287128712,463,107,1.5203176875325135,1
2022-07-15 08:47:57.407740768,0,74,0.23854031532075948,0
2020-03-25 03:53:18.199819982,0,68,0.15971543461053128,0
2022-01-30 02:07:01.242124208,31,118,2.2666473565869216,1
2022-07-18 17:27:16.363636352,185,114,1.0206314233159857,0
2020-03-05 03:27:48.766876687,0,66,0.46465762977373365,0
2021-02-05 19:33:51.683168316,78,95,3.0550462422709455,1
2022-12-29 23:02:32.295229520,283,72,4.053960360814141,1
2022-02-09 07:35:22.412241216,0,75,0.21737105688477665,0
2022-04-05 23:39:41.638163808,207,74,4.263876020826146,1
2021-08-07 07:29:45.418541848,0,79,0.48252394987167896,0
2022-05-31 12:13:36.561656160,0,74,0.25895647135394095,0
2020-03-26 00:55:44.014401440,28,116,1.545134063102157,1
2023-12-21 22:02:03.132313216,254,116,2.1473291328310165,1
2022-10-27 06:05:56.435643552,289,72,4.6340168321989275,1
2023-04-07 00:04:19.225922592,299,110,1.2068042742353562,1
2023-12-16 22:48:16.849684960,359,73,2.552876707780001,1
2020-11-24 14:40:56.165616560,0,76,0.3404691901123175,0
2021-11-08 23:19:23.276327632,162,63,3.099311314150515,1
2023-10-17 21:31:48.550855072,227,82,3.3026344499330813,1
2021-12-23 19:53:44.122412240,85,104,1.9054992479631476,1
2023-12-20 10:58:00.108010800,0,69,0.19711560913790516,0
2020-10-13 19:45:05.670567056,153,104,0.4059729541016216,0
2023-04-19 10:08:44.932493248,195,77,1.0618978205253509,0
2022-08-20 21:29:13.015301520,305,116,1.501349179259011,1
2023-07-16 16:13:23.600360032,286,89,3.30029086291934,1
2020-02-16 21:40:01.080108010,48,64,0.6839167196025969,0
2021-01-26 07:04:41.908190816,0,76,0.276068393923011,0
2021-11-06 18:43:18.739873984,452,66,1.0135829825534377,0
2021-12-24 02:54:32.727272720,245,118,2.0959985494497464,1
2023-05-01 20:13:10.639063904,124,72,3.0758790569162113,0
2021-05-02 14:01:37.209720968,112,87,4.8748728130145516,1
2022-03-27 15:13:46.282628256,277,96,0.4560713937632488,0
2020-02-06 16:11:39.909990999,230,89,3.133575400519244,1
2021-08-03 12:19:13.555355536,215,76,4.024294577328579,0
2022-08-26 17:45:25.112511248,12,71,2.1848571681697084,0
2022-03-21 11:56:45.580558048,0,79,0.01350920901974284,0
2020-01-06 02:44:10.585058505,245,77,2.418450131323928,1
2023-05-06 19:26:56.921692160,0,76,0.22628233361704592,0
2020-08-09 01:42:49.576957696,0,67,0.02978328768786609,0
2023-09-23 08:23:45.742574256,388,112,3.3246262532320463,1
2020-01-06 16:45:47.794779477,394,65,3.7580243416157137,1
2021-12-05 03:01:53.411341128,0,64,0.27340278710431715,0
2021-05-21 06:53:27.920792080,364,87,1.6925684438532862,1
2020-09-14 03:52:52.277227720,260,71,2.890200558144001,1
2020-12-02 15:33:12.799279928,152,91,4.248908493701152,1
2021-06-27 23:37:57.947794776,0,76,0.35850870068238305,0
2023-04-25 09:55:21.332133200,327,112,0.7189523792036651,1
2021-12-30 13:12:22.034203416,83,60,1.6844728258952895,0
2023-04-02 11:21:45.850585056,321,106,4.015729630787723,1
2021-03-19 00:28:04.968496848,127,74,0.15390415876761543,0
2023-03-05 20:35:12.691269120,311,98,3.4469033416825017,1
2021-03-20 01:00:55.085508552,185,72,1.7845745073575758,1
2023-11-11 17:40:39.963996384,319,65,0.2511844962888049,0
2021-01-06 20:40:49.684968496,476,65,0.5486872360622497,0
2021-01-13 17:29:51.899189916,112,105,4.828179143540573,1
2020-06-22 14:01:11.287128712,19,84,0.04340604613154331,0
2023-03-09 22:46:33.159315920,0,72,0.32601239570650026,0
2022-06-06 22:31:25.868586848,201,87,2.923508522679928,1
2020-01-16 15:13:20.360036003,378,98,3.864032037043281,1
2020-07-11 03:22:37.695769576,447,64,1.7762143050517758,1
2023-04-11 05:46:03.996399632,204,98,4.184942307238232,1
2021-02-06 06:05:04.590459044,401,114,2.3853858577960674,1
2023-11-26 01:20:21.602160208,318,81,2.1556980105802994,1
2022-06-29 10:33:48.442844272,272,75,1.9047508636759714,0
2021-02-24 05:24:53.789378936,365,86,0.6479108396496136,1
2022-02-16 18:26:01.836183616,24,116,4.487112856141728,1
2020-04-26 17:53:37.641764176,175,102,0.9043701911070579,0
2021-06-05 15:05:59.675967592,330,93,1.2754321555964665,1
2021-02-26 20:32:11.233123312,0,65,0.07480142957042873,0
2021-03-03 16:15:33.213321328,143,92,2.7004671054885727,1
2023-04-09 22:12:25.274527440,0,69,0.4090898248608703,0
2020-05-21 21:03:17.659765976,324,77,2.7140544782405467,1
2022-09-04 01:38:30.351035104,441,98,4.6316002437898485,1
2023-06-06 22:23:13.339333920,0,63,0.21092198412936958,0
2020-10-22 03:38:10.909090908,475,103,1.694541016418614,1
